Test Method,MTS Tensile with Extensometer_edited.msm,,,,
Sample I. D.,GroupB_unknown metal,,,,
Specimen Number,2,,,Trial 1,
,,,,,
Load (N),Time (s),Extension (mm),Stress (MPa),Strain (mm/mm),Crosshead (mm)
,,,,,
-148.915,0.9,-0.354,-12.65799651,-0.006958915,
-146.554,1.7,-0.336,-12.457308,-0.006605072,
-143.843,2.5,-0.317,-12.22686897,-0.006231571,
-140.717,3.3,-0.299,-11.96115432,-0.005877728,
-137.669,4.1,-0.28,-11.70206979,-0.005504226,
-133.959,4.9,-0.262,-11.38671427,-0.005150383,
-129.993,5.7,-0.244,-11.04959837,-0.00479654,
-125.559,6.5,-0.224,-10.67270177,-0.004403381,
-120.603,7.3,-0.204,-10.2514344,-0.004010222,
-114.481,8.1,-0.184,-9.731055293,-0.003617063,
-107.404,8.9,-0.164,-9.129499766,-0.003223904,
-98.892,9.7,-0.146,-8.405967104,-0.002870061,
-88.385,10.5,-0.125,-7.512856475,-0.002457244,
-75.025,11.3,-0.103,-6.377236602,-0.002024769,
-57.12,12.1,-0.083,-4.855284967,-0.00163161,
-43.464,12.9,-0.07,-3.694504654,-0.001376057,
-42.115,13.7,-0.068,-3.579837647,-0.001336741,
-41.917,14.5,-0.067,-3.563007353,-0.001317083,
-41.739,15.3,-0.066,-3.547877088,-0.001297425,
-41.692,16.1,-0.067,-3.543882018,-0.001317083,
-41.648,16.9,-0.066,-3.540141952,-0.001297425,
-41.314,17.7,-0.066,-3.511751456,-0.001297425,
-41.014,18.5,-0.065,-3.486251009,-0.001277767,
-40.743,19.3,-0.065,-3.463215606,-0.001277767,
-40.685,20.1,-0.065,-3.45828552,-0.001277767,
-40.182,20.9,-0.065,-3.415529772,-0.001277767,
-39.522,21.7,-0.066,-3.35942879,-0.001297425,
-38.769,22.5,-0.065,-3.29542267,-0.001277767,
-25.112,23.3,-0.055,-2.134557355,-0.001081187,
6.131,24.1,-0.039,0.52114412,-0.00076666,
51.361,24.9,-0.022,4.365761401,-0.000432475,
55.766,25.7,-0.021,4.740192953,-0.000412817,
55.522,26.5,-0.02,4.71945259,-0.000393159,
55.35,27.3,-0.022,4.704832335,-0.000432475,
55.625,28.1,-0.021,4.728207744,-0.000412817,
55.727,28.9,-0.02,4.736877895,-0.000393159,
56.14,29.7,-0.019,4.77198351,-0.000373501,
56.437,30.5,-0.02,4.797228952,-0.000393159,
56.488,31.3,-0.02,4.801564027,-0.000393159,
56.659,32.1,-0.018,4.816099282,-0.000353843,
60.528,32.9,-0.018,5.144970037,-0.000353843,
94.977,33.7,-0.01,8.073186281,-0.00019658,
182.452,34.5,0.004,15.5086914,7.86E-05,
287.789,35.3,0.019,24.46249309,0.000373501,
403.717,36.1,0.031,34.31654554,0.000609397,
524.353,36.9,0.043,44.57078499,0.000845292,
644.522,37.7,0.055,54.78532874,0.001081187,
767.163,38.5,0.063,65.20999617,0.001238451,
889.938,39.3,0.075,75.64605381,0.001474346,
1011.283,40.1,0.085,85.96055931,0.001670926,
1132.759,40.9,0.095,96.28620001,0.001867505,
1250.745,41.7,0.105,106.3151855,0.002064085,
1368.25,42.5,0.116,116.3032853,0.002280322,
1483.332,43.3,0.127,126.0854265,0.00249656,
1594.137,44.1,0.137,135.5040163,0.002693139,
1697.778,44.9,0.149,144.3136555,0.002929035,
1774.506,45.7,0.162,150.8356496,0.003184588,
1803.748,46.5,0.179,153.3212631,0.003518773,
1811.021,47.3,0.193,153.9394789,0.003793985,
1812.03,48.1,0.209,154.0252454,0.004108512,
1815.483,48.9,0.228,154.3187556,0.004482013,
1817.622,49.7,0.247,154.5005738,0.004855514,
1821.892,50.5,0.266,154.8635301,0.005229015,
1827.851,51.3,0.287,155.370054,0.005641832,
1832.304,52.1,0.306,155.7485656,0.006015333,
1839.194,52.9,0.327,156.3342258,0.00642815,
1844.441,53.7,0.347,156.7802287,0.006821309,
1850.033,54.5,0.367,157.255557,0.007214468,
1856.778,55.3,0.386,157.828892,0.007587969,
1860.995,56.1,0.405,158.1873433,0.00796147,
1867.657,56.9,0.424,158.7536232,0.008334971,
1872.573,57.7,0.443,159.1714905,0.008708473,
1879.225,58.5,0.461,159.7369204,0.009062316,
1886.08,59.3,0.477,160.3196056,0.009376843,
1890.317,60.1,0.496,160.6797569,0.009750344,
1896.646,60.9,0.513,161.2177313,0.010084529,
1902.359,61.7,0.532,161.7033448,0.01045803,
1907.545,62.5,0.549,162.1441625,0.010792215,
1914.805,63.3,0.567,162.7612733,0.011146059,
1918.852,64.1,0.585,163.1052743,0.011499902,
1924.915,64.9,0.603,163.6206384,0.011853745,
1930.398,65.7,0.622,164.0867015,0.012227246,
1935.339,66.5,0.639,164.5066939,0.012561431,
1942.539,67.3,0.658,165.1187046,0.012934932,
1946.574,68.1,0.675,165.4616856,0.013269117,
1951.972,68.9,0.693,165.9205236,0.01362296,
1958.27,69.7,0.71,166.455863,0.013957146,
1962.576,70.5,0.729,166.8218794,0.014330647,
1968.874,71.3,0.746,167.3572188,0.014664832,
1973.204,72.1,0.764,167.7252752,0.015018675,
1978.351,72.9,0.781,168.1627778,0.01535286,
1984.563,73.7,0.798,168.6908071,0.015687045,
1988.92,74.5,0.816,169.0611586,0.016040889,
1994.588,75.3,0.833,169.542947,0.016375074,
1999.12,76.1,0.851,169.9281737,0.016728917,
2003.921,76.9,0.868,170.3362659,0.017063102,
2009.962,77.7,0.885,170.8497599,0.017397287,
2013.795,78.5,0.903,171.1755706,0.01775113,
2019.11,79.3,0.92,171.6273535,0.018085316,
2024.309,80.1,0.938,172.0692762,0.018439159,
2028.271,80.9,0.954,172.4060521,0.018753686,
2033.943,81.7,0.972,172.8881805,0.019107529,
2038.38,82.5,0.989,173.2653321,0.019441714,
2042.949,83.3,1.006,173.6537039,0.019775899,
2048.445,84.1,1.023,174.1208721,0.020110085,
2052.124,84.9,1.041,174.4335926,0.020463928,
2057.732,85.7,1.057,174.9102809,0.020778455,
2061.402,86.5,1.074,175.2222364,0.02111264,
2065.988,87.3,1.091,175.6120532,0.021446825,
2071.706,88.1,1.109,176.0980917,0.021800668,
2074.999,88.9,1.125,176.3780016,0.022115196,
2080.212,89.7,1.142,176.8211144,0.022449381,
2084.242,90.5,1.158,177.1636704,0.022763908,
2088.389,91.3,1.176,177.5161715,0.023117751,
2094.309,92.1,1.193,178.0193803,0.023451936,
2097.311,92.9,1.21,178.2745548,0.023786121,
2102.22,93.7,1.226,178.6918271,0.024100649,
2106.147,94.5,1.242,179.0256279,0.024415176,
2110.151,95.3,1.26,179.3659739,0.024769019,
2115.895,96.1,1.277,179.8542224,0.025103204,
2118.629,96.9,1.293,180.0866165,0.025417731,
2123.29,97.7,1.309,180.4828084,0.025732259,
2127.31,98.5,1.326,180.8245144,0.026066444,
2130.897,99.3,1.343,181.1294148,0.026400629,
2136.553,100.1,1.36,181.6101832,0.026734814,
2139.345,100.9,1.376,181.8475073,0.027049341,
2143.545,101.7,1.392,182.2045136,0.027363869,
2147.848,102.5,1.409,182.570275,0.027698054,
2151.116,103.3,1.427,182.8480598,0.028051897,
2156.996,104.1,1.443,183.3478686,0.028366424,
2159.122,104.9,1.46,183.5285818,0.028700609,
2163.43,105.7,1.476,183.8947682,0.029015137,
2167.789,106.5,1.491,184.2652896,0.029310006,
2170.652,107.3,1.509,184.5086489,0.029663849,
2176.061,108.1,1.525,184.9684219,0.029978376,
2178.379,108.9,1.542,185.1654554,0.030312561,
2182.478,109.7,1.559,185.5138765,0.030646747,
2186.981,110.5,1.574,185.8966382,0.030941616,
2189.718,111.3,1.59,186.1292873,0.031256143,
2195.086,112.1,1.607,186.5855752,0.031590328,
2197.271,112.9,1.623,186.7713035,0.031904856,
2200.964,113.7,1.639,187.085214,0.032219383,
2205.557,114.5,1.655,187.4756258,0.03253391,
2208.019,115.3,1.671,187.6848995,0.032848437,
2213.141,116.1,1.688,188.1202771,0.033182622,
2215.713,116.9,1.705,188.3389009,0.033516808,
2219.098,117.7,1.722,188.626631,0.033850993,
2223.654,118.5,1.737,189.0138977,0.034145862,
2225.628,119.3,1.753,189.1816907,0.034460389,
2230.905,120.1,1.77,189.6302435,0.034794574,
2233.513,120.9,1.786,189.8519274,0.035109102,
2236.572,121.7,1.802,190.111947,0.035423629,
2240.998,122.5,1.818,190.4881635,0.035738156,
2243.324,123.3,1.834,190.685877,0.036052683,
2248.068,124.1,1.851,191.0891241,0.036386868,
2250.584,124.9,1.867,191.3029878,0.036701396,
2253.517,125.7,1.883,191.5522972,0.037015923,
2258.313,126.5,1.9,191.9599643,0.037350108,
2260.549,127.3,1.915,192.1500276,0.037644977,
2264.194,128.1,1.931,192.459858,0.037959505,
2267.075,128.9,1.947,192.7047473,0.038274032,
2269.472,129.7,1.963,192.9084959,0.038588559,
2275.026,130.5,1.98,193.3805942,0.038922744,
2276.615,131.3,1.995,193.5156615,0.039217614,
2280.714,132.1,2.011,193.8640826,0.039532141,
2283.641,132.9,2.028,194.112882,0.039866326,
2286.142,133.7,2.043,194.3254707,0.040161195,
2290.419,134.5,2.06,194.6890221,0.04049538,
2292.582,135.3,2.076,194.8728803,0.040809908,
2295.907,136.1,2.092,195.1555102,0.041124435,
2299.278,136.9,2.108,195.4420502,0.041438962,
2301.588,137.7,2.124,195.6384037,0.041753489,
2305.714,138.5,2.141,195.9891198,0.042087674,
2307.696,139.3,2.156,196.1575928,0.042382544,
2310.969,140.1,2.172,196.4358026,0.042697071,
2315.11,140.9,2.188,196.7877938,0.043011598,
2316.814,141.7,2.204,196.9326363,0.043326125,
2320.471,142.5,2.221,197.2434868,0.043660311,
2322.974,143.3,2.237,197.4562455,0.043974838,
2325.606,144.1,2.252,197.6799694,0.044269707,
2330.049,144.9,2.268,198.057631,0.044584234,
2331.803,145.7,2.285,198.2067236,0.04491842,
2334.913,146.5,2.301,198.4710782,0.045232947,
2337.79,147.3,2.317,198.7156275,0.045547474,
2340.172,148.1,2.332,198.9181011,0.045842343,
2344.476,148.9,2.349,199.2839475,0.046176528,
2345.834,149.7,2.365,199.3993795,0.046491056,
2348.867,150.5,2.381,199.657189,0.046805583,
2352.073,151.3,2.397,199.9297038,0.04712011,
2354.425,152.1,2.413,200.1296273,0.047434637,
2358.901,152.9,2.43,200.5100939,0.047768822,
2360.058,153.7,2.445,200.6084406,0.048063692,
2362.775,154.5,2.46,200.8393897,0.048358561,
2366.421,155.3,2.477,201.1493051,0.048692746,
2368.184,156.1,2.494,201.2991627,0.049026931,
2372.369,156.9,2.509,201.654894,0.049321801,
2373.774,157.7,2.524,201.7743211,0.04961667,
2376.441,158.5,2.541,202.00102,0.049950855,
2379.899,159.3,2.557,202.2949552,0.050265382,
2381.46,160.1,2.573,202.4276425,0.05057991,
2385.369,160.9,2.589,202.7599133,0.050894437,
2387.214,161.7,2.605,202.916741,0.051208964,
2389.3,162.5,2.622,203.0940541,0.051543149,
2393.192,163.3,2.637,203.4248799,0.051838018,
2394.481,164.1,2.653,203.5344469,0.052152546,
2398.211,164.9,2.67,203.8515024,0.052486731,
2399.993,165.7,2.686,204.0029751,0.052801258,
2402.506,166.5,2.702,204.2165838,0.053115785,
2405.893,167.3,2.718,204.5044838,0.053430313,
2407.067,168.1,2.735,204.6042756,0.053764498,
2410.308,168.9,2.75,204.8797654,0.054059367,
2412.981,169.7,2.766,205.1069744,0.054373894,
2414.858,170.5,2.783,205.2665222,0.054708079,
2418.368,171.3,2.799,205.5648774,0.055022607,
2419.76,172.1,2.815,205.6831995,0.055337134,
2422.64,172.9,2.831,205.9280037,0.055651661,
2425.337,173.7,2.848,206.1572528,0.055985846,
2427.068,174.5,2.864,206.3043903,0.056300374,
2430.38,175.3,2.879,206.5859153,0.056595243,
2431.83,176.1,2.895,206.7091674,0.05690977,
2434.544,176.9,2.913,206.9398614,0.057263613,
2437.368,177.7,2.929,207.1799056,0.05757814,
2438.944,178.5,2.944,207.313868,0.05787301,
2442.446,179.3,2.961,207.6115432,0.058207195,
2443.69,180.1,2.977,207.7172851,0.058521722,
2445.651,180.9,2.994,207.883973,0.058855907,
2449.364,181.7,3.009,208.1995835,0.059150776,
2450.833,182.5,3.026,208.3244507,0.059484962,
2453.8,183.3,3.041,208.5766501,0.059779831,
2455.303,184.1,3.058,208.7044073,0.060114016,
2457.298,184.9,3.075,208.8739853,0.060448201,
2461.025,185.7,3.091,209.1907858,0.060762729,
2461.758,186.5,3.107,209.2530919,0.061077256,
2465.128,187.3,3.124,209.5395469,0.061411441,
2466.884,188.1,3.14,209.6888096,0.061725968,
2468.332,188.9,3.157,209.8118917,0.062060153,
2472.069,189.7,3.173,210.1295423,0.062374681,
2472.882,190.5,3.189,210.1986485,0.062689208,
2475.553,191.3,3.206,210.4256874,0.063023393,
2477.885,192.1,3.222,210.6239109,0.06333792,
2479.456,192.9,3.238,210.7574483,0.063652447,
2483.291,193.7,3.255,211.083429,0.063986633,
2484.058,194.5,3.271,211.1486251,0.06430116,
2486.81,195.3,3.288,211.3825492,0.064635345,
2488.477,196.1,3.305,211.5242467,0.06496953,
2489.972,196.9,3.321,211.6513239,0.065284057,
2493.553,197.7,3.337,211.9557142,0.065598585,
2494.778,198.5,3.354,212.059841,0.06593277,
2497.265,199.3,3.371,212.2712397,0.066266955,
2499.126,200.1,3.387,212.4294275,0.066581482,
2500.157,200.9,3.403,212.517064,0.066896009,
2503.772,201.7,3.42,212.8243444,0.067230195,
2505.129,202.5,3.436,212.9396914,0.067544722,
2507.899,203.3,3.453,213.1751456,0.067878907,
2509.707,204.1,3.47,213.3288283,0.068213092,
2510.784,204.9,3.486,213.4203749,0.068527619,
2513.922,205.7,3.503,213.6871095,0.068861805,
2515.083,206.5,3.519,213.7857963,0.069176332,
2516.855,207.3,3.536,213.9364189,0.069510517,
2519.841,208.1,3.553,214.1902333,0.069844702,
2520.759,208.9,3.57,214.2682647,0.070178887,
2524.021,209.7,3.586,214.5455395,0.070493415,
2524.86,210.5,3.603,214.6168558,0.0708276,
2526.946,211.3,3.62,214.7941689,0.071161785,
2529.882,212.1,3.637,215.0437333,0.07149597,
2530.481,212.9,3.653,215.0946492,0.071810497,
2532.917,213.7,3.67,215.3017128,0.072144683,
2534.614,214.5,3.686,215.4459603,0.07245921,
2536.274,215.3,3.704,215.5870628,0.072813053,
2539.416,216.1,3.721,215.8541374,0.073147238,
2540.105,216.9,3.737,215.9127035,0.073461765,
2542.454,217.7,3.753,216.112372,0.073776293,
2544.457,218.5,3.77,216.2826299,0.074110478,
2545.806,219.3,3.787,216.397297,0.074444663,
2548.182,220.1,3.804,216.5992605,0.074778848,
2549.548,220.9,3.822,216.7153725,0.075132691,
2551.189,221.7,3.838,216.85486,0.075447218,
2553.9,222.5,3.855,217.085299,0.075781404,
2554.366,223.3,3.872,217.1249097,0.076115589,
2557.56,224.1,3.889,217.3964044,0.076449774,
2558.515,224.9,3.906,217.4775809,0.076783959,
2560.082,225.7,3.922,217.6107782,0.077098486,
2563.104,226.5,3.94,217.8676527,0.077452329,
2563.676,227.3,3.957,217.9162735,0.077786515,
2566.047,228.1,3.974,218.1178121,0.0781207,
2567.204,228.9,3.991,218.2161588,0.078454885,
2568.859,229.7,4.008,218.3568362,0.07878907,
2572.024,230.5,4.025,218.625866,0.079123255,
2572.338,231.3,4.041,218.6525564,0.079437783,
2574.707,232.1,4.059,218.8539249,0.079791626,
2575.957,232.9,4.076,218.9601768,0.080125811,
2577.57,233.7,4.093,219.0972842,0.080459996,
2580.61,234.5,4.11,219.3556887,0.080794181,
2581.005,235.3,4.127,219.3892643,0.081128366,
2583.027,236.1,4.145,219.5611373,0.08148221,
2584.588,236.9,4.161,219.6938246,0.081796737,
2585.962,237.7,4.179,219.8106167,0.08215058,
2589.318,238.5,4.196,220.0958817,0.082484765,
2589.145,239.3,4.214,220.0811764,0.082838608,
2591.011,240.1,4.23,220.2397892,0.083153135,
2592.811,240.9,4.247,220.3927919,0.083487321,
2594.107,241.7,4.265,220.5029538,0.083841164,
2596.991,242.5,4.282,220.7480981,0.084175349,
2597.467,243.3,4.299,220.7885588,0.084509534,
2598.827,244.1,4.316,220.9041608,0.084843719,
2601.556,244.9,4.334,221.1361299,0.085197562,
2602.25,245.7,4.351,221.1951209,0.085531748,
2604.767,246.5,4.368,221.4090697,0.085865933,
2605.275,247.3,4.385,221.4522504,0.086200118,
2606.856,248.1,4.403,221.5866378,0.086553961,
2609.605,248.9,4.42,221.8203069,0.086888146,
2610.193,249.7,4.437,221.8702877,0.087222331,
2612.685,250.5,4.455,222.0821114,0.087576175,
2613.551,251.3,4.473,222.1557227,0.087930018,
2614.377,252.1,4.49,222.225934,0.088264203,
2616.569,252.9,4.507,222.4122572,0.088598388,
2617.444,253.7,4.525,222.4866335,0.088952231,
2619.715,254.5,4.543,222.6796719,0.089306074,
2621.299,255.3,4.56,222.8143143,0.089640259,
2622.034,256.1,4.577,222.8767903,0.089974445,
2624.243,256.9,4.594,223.0645586,0.09030863,
2625.135,257.7,4.612,223.14038,0.090662473,
